Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,ID,Idaho,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,075",13.9,12.7,15.2,"2,161",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,16,BO1,CAT1,INTERNET,RESP054,"(43.682630005000476, -114.3637300419997)"
2014,IL,Illinois,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,969,18.2,16.8,19.7,"2,169",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,17,BO1,CAT1,INTERNET,RESP054,"(40.48501028300046, -88.99771017799969)"
2014,IN,Indiana,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,808",19.3,18.4,20.2,"2,175",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,18,BO1,CAT1,INTERNET,RESP054,"(39.766910452000445, -86.14996019399968)"
2014,IA,Iowa,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,826",16.8,15.8,17.7,"2,173",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,19,BO1,CAT1,INTERNET,RESP054,"(42.46940091300047, -93.81649055599968)"
2014,KS,Kansas,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,568",16.1,15.4,16.8,"2,181",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,20,BO1,CAT1,INTERNET,RESP054,"(38.34774030000045, -98.20078122699965)"
2014,KY,Kentucky,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"3,107",21.3,20.1,22.5,"2,176",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,21,BO1,CAT1,INTERNET,RESP054,"(37.645970271000465, -84.77497104799966)"
2014,LA,Louisiana,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,835",23,21.8,24.2,"2,177",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,22,BO1,CAT1,INTERNET,RESP054,"(31.31266064400046, -92.44568007099969)"
2014,ME,Maine,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,711",15.2,14.3,16.1,"2,166",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,23,BO1,CAT1,INTERNET,RESP054,"(45.254228894000505, -68.98503133599962)"
2014,MD,Maryland,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,453",15.6,14.3,16.8,"2,181",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,24,BO1,CAT1,INTERNET,RESP054,"(39.29058096400047, -76.60926011099963)"
2014,MA,Massachusetts,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"3,121",14.7,13.9,15.6,"2,181",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,25,BO1,CAT1,INTERNET,RESP054,"(42.27687047000046, -72.08269067499964)"
2014,MI,Michigan,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,627",17,16,17.9,"2,182",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,26,BO1,CAT1,INTERNET,RESP054,"(44.6613195430005, -84.71439026999968)"
2014,MN,Minnesota,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,508",13.2,12.6,13.8,"2,183",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,27,BO1,CAT1,INTERNET,RESP054,"(46.35564873600049, -94.79420050299967)"
2014,MS,Mississippi,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,589",29.6,27.8,31.5,"2,155",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,28,BO1,CAT1,INTERNET,RESP054,"(32.745510099000455, -89.53803082499968)"
2014,MO,Missouri,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"2,013",18.5,17.3,19.7,"2,177",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,29,BO1,CAT1,INTERNET,RESP054,"(38.635790776000476, -92.56630005299968)"
2014,MT,Montana,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,855",17,15.8,18.1,"2,163",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,30,BO1,CAT1,INTERNET,RESP054,"(47.06652897200047, -109.42442064499971)"
2014,NE,Nebraska,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"5,264",16.4,15.7,17.1,"2,181",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,31,BO1,CAT1,INTERNET,RESP054,"(41.6410409880005, -99.36572062299967)"
2014,NV,Nevada,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,674,18,15.9,20,"2,171",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,32,BO1,CAT1,INTERNET,RESP054,"(39.493240390000494, -117.07184056399967)"
2014,NH,New Hampshire,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,"1,010",10.9,9.9,11.9,"2,157",%,Crude Prevalence,,,BRFSS,CLASS05,Topic34,33,BO1,CAT1,INTERNET,RESP054,"(43.65595011300047, -71.50036091999965)"
